,lga,Borehole,Don't Know,Handpump,Overhead Tank,Rainwater Harvesting System,Tap,Unimproved,Unimproved Large Diameter Well,Unimproved Rainwater Harvesting System,Unimproved Well,Unprotected Spring,Untreated Surface Water,,Average Nighttime mean,system:index,AREA,STATE,Latitude,Longitude,PERIMETER,Population
600,abia aba north,2,0,0,0,0,37,0,0,0,0,0,0,,3.422659343,698,18.116,Abia,5.100754338,7.35961746,31.927,245825.278
707,abia aba south,1,2,0,0,0,12,0,0,0,0,0,0,,1.949728226,699,51.131,Abia,5.071438184,7.341737236,29.855,380211.9108
390,abia arochukwu,0,0,3,17,0,3,0,0,0,0,0,0,,0.089510468,656,386.125,Abia,5.498930912,7.795863292,133.618,146354.5149
401,abia bende,13,1,0,0,0,80,1,0,0,2,3,1,,0.076452124,636,603.923,Abia,5.655239193,7.588170143,141.298,236492.5846
590,abia ikwuano,0,3,0,0,0,120,0,0,0,0,0,0,,0.066904772,674,237.941,Abia,5.384023822,7.56831668,78.189,153494.9633
182,abia isiala ngwa north,2,0,0,0,0,47,2,0,0,1,0,0,,0.089842249,677,253.472,Abia,5.370156308,7.406566047,87.648,231792.9538
671,abia isiala ngwa south,0,0,3,64,0,19,1,0,0,0,0,0,,0.185484249,681,261.344,Abia,5.267831539,7.390570499,88.729,267528.7557
111,abia isuikwuato,21,0,0,0,0,55,3,0,0,3,4,0,,0.053775774,633,336.384,Abia,5.762120208,7.463058765,83.375,185895.9741
673,abia obi ngwa,0,2,7,0,0,86,0,4,0,0,0,0,,0.797231575,685,374.566,Abia,5.127125924,7.455779945,92.194,463748.4541
325,abia ohafia,2,0,0,0,0,43,0,2,0,0,0,0,,0.060667726,639,568.415,Abia,5.656081156,7.77802084,114.317,199576.7376
61,abia osisioma ngwa,1,1,0,0,0,21,0,0,0,0,0,0,,0.759793082,684,192.718,Abia,5.177648891,7.319388523,67.527,558677.8389
341,abia ugwunagbo,3,14,0,0,0,87,0,0,0,10,0,0,,0.369911881,707,106.283,Abia,5.006283015,7.339427888,51.132,86627.5702
314,abia ukwa east,0,0,8,15,0,1,0,0,0,0,0,0,,0.148015976,710,246.503,Abia,4.923012669,7.407905229,82.923,67470.8249
475,abia ukwa west,0,2,0,0,0,57,0,0,0,0,0,0,,0.959377897,702,293.335,Abia,4.954009236,7.239266452,73.3,106842.7926
295,abia umuahia north,0,8,0,0,0,98,2,0,0,6,0,0,,0.65489554,655,231.14,Abia,5.557996042,7.468691652,74.446,308068.8085
177,abia umuahia south,4,2,0,0,0,33,0,0,0,0,0,0,,0.180776273,670,131.269,Abia,5.462338035,7.439974237,53.22,224345.4052
679,abia umunneochi,0,0,0,23,0,3,8,0,0,0,0,0,,0.028508886,617,451.958,Abia,5.939977755,7.41034335,84.996,220614.5579
620,adamawa demsa,35,0,0,0,0,43,0,0,0,0,0,0,,0.057635126,281,2289.566,Adamawa,9.364226887,12.1814434,229.339,150469.6337
658,adamawa fufore,0,0,165,30,0,8,3,0,0,0,0,0,,-0.004980624,276,4270.342,Adamawa,9.166311153,12.63841247,433.228,239979.6884
147,adamawa ganaye,9,0,0,0,0,153,0,0,0,0,0,0,,-0.006360987,343,1834.296,Adamawa,8.414845176,11.9864478,224.221,192931.6416
447,adamawa gayuk,35,4,0,0,0,29,0,0,0,7,0,1,,-0.0119069,244,1865.627,Adamawa,10.18686968,12.64760147,194.495,181186.8923
377,adamawa gombi,27,32,0,0,0,62,0,0,0,3,0,0,,0.024153636,285,1084.333,Adamawa,9.430360776,12.5899079,158.498,200932.5643
601,adamawa grie,73,1,67,0,0,157,5,14,0,0,0,0,,-0.003953803,264,699.835,Adamawa,9.82368663,11.99835965,130.547,136843.6889
574,adamawa hong,40,0,0,0,0,173,0,0,0,14,0,0,,-0.009042694,239,2732.219,Adamawa,10.30344733,13.02889157,220.773,231758.0337
462,adamawa jada,88,0,0,0,0,51,0,0,0,4,0,2,,-0.000657,334,1776.035,Adamawa,8.668160919,12.41448062,226.688,197998.8036
696,adamawa lamurde,0,0,34,0,0,1,0,1,0,0,0,0,,0.030472279,279,1167.036,Adamawa,9.568231386,11.80851897,154.327,78434.1592
692,adamawa madagali,121,7,0,0,0,21,0,0,0,4,0,0,,-0.003766043,221,498.673,Adamawa,10.83897145,13.54326112,97.89,128574.8406
711,adamawa maiha,0,0,225,12,0,11,1,0,0,0,0,0,,-0.017190038,254,530.763,Adamawa,9.887456793,13.22483752,161.644,94183.1496
207,adamawa mayo belwa,51,64,0,0,0,16,0,0,0,17,1,0,,-0.006342652,310,2175.744,Adamawa,8.867928043,12.05996265,279.185,197334.9529
466,adamawa michika,4,1,164,0,0,19,1,38,0,0,0,0,,-0.0189067,225,689.417,Adamawa,10.60764886,13.45078284,116.98,158182.441
670,adamawa mubi north,0,0,46,10,0,0,0,0,0,0,0,0,,0.001949576,243,687.937,Adamawa,10.32686924,13.38032452,126.823,180307.1535
433,adamawa mubi south,76,0,0,0,0,13,0,0,0,0,0,0,,-0.017975349,252,185.577,Adamawa,10.19038018,13.39325654,57.961,170740.0858
541,adamawa numan,30,2,0,0,0,4,0,0,0,1,0,0,,0.010517926,283,813.295,Adamawa,9.452740537,11.93493389,177.191,80331.0079
193,adamawa shelleng,0,0,72,21,0,0,3,0,0,0,0,0,,-0.018019296,249,1605.411,Adamawa,9.922920132,12.22929807,202.623,121762.492
79,adamawa song,0,114,1,0,0,0,0,0,0,0,0,0,,-0.013663465,263,4324.615,Adamawa,9.811197199,12.73161841,321.632,239863.3654
101,adamawa teungo,0,13,0,0,0,80,0,0,0,0,0,0,,-0.006275245,358,4627.869,Adamawa,8.001850471,11.85056626,340.831,49834.2979
625,adamawa yola north,0,1,0,0,0,44,0,0,0,0,0,0,,0.58375873,302,139.997,Adamawa,9.251618228,12.52006908,50.841,206303.3767
21,adamawa yola south,4,1,0,0,0,71,0,0,0,1,0,0,,0.171310929,306,370.27,Adamawa,9.157369439,12.59183879,90.685,368752.0384
244,akwa ibom abak,0,3,0,0,0,71,0,0,0,0,0,0,,0.143322189,701,177.485,Akwa Ibom,5.006098356,7.760621548,78.365,161657.0086
493,akwa ibom eastern obolo,28,6,0,0,0,18,1,0,0,3,11,2,,0.338363098,747,109.034,Akwa Ibom,4.516033702,7.684731485,75.93,19312.3599
524,akwa ibom eket,17,1,0,0,0,85,0,0,0,0,0,0,,2.721918416,738,189.114,Akwa Ibom,4.628249078,7.942930075,64.858,231350.8815
265,akwa ibom esit eket,0,0,11,72,0,12,1,0,0,0,0,0,,2.016389527,741,139.599,Akwa Ibom,4.63339369,8.067647956,48.16,53616.3324
27,akwa ibom essien udim,0,6,0,0,0,87,0,0,0,0,0,0,,0.147469807,697,299.011,Akwa Ibom,5.099093944,7.638979579,81.343,115335.0762
455,akwa ibom etim eko,0,1,0,0,0,67,0,0,0,0,0,1,,0.045941016,709,193.536,Akwa Ibom,4.960886861,7.590374259,74.743,91539.0515
84,akwa ibom etinan,0,1,0,0,0,31,0,0,0,0,0,0,,0.177722975,717,171.492,Akwa Ibom,4.801230423,7.834806511,74.423,78133.4383
742,akwa ibom ibeno,10,1,0,0,0,55,0,0,0,1,0,0,,28.57227675,746,213.383,Akwa Ibom,4.562158435,8.101790693,118.972,44222.9481
585,akwa ibom ibesikpo asutan,1,0,0,0,0,10,0,0,0,0,0,0,,0.377408048,712,175.745,Akwa Ibom,4.911515322,7.940851365,58.348,202048.984
204,akwa ibom ibiono ibom,0,0,0,17,0,20,0,0,0,0,0,0,,0.240101098,680,316.253,Akwa Ibom,5.199930525,7.881162351,98.815,104322.6338
160,akwa ibom ika,0,6,0,0,0,47,0,0,0,0,0,0,,0.067295457,706,130.881,Akwa Ibom,5.001235389,7.525873153,54.515,37501.5796
31,akwa ibom ikono,16,0,0,0,0,86,0,0,0,0,0,0,,0.244640878,682,269.755,Akwa Ibom,5.207500248,7.776426684,85.945,116095.6231
446,akwa ibom ikot abasi,36,18,0,0,0,58,0,0,0,8,0,7,,0.262474626,740,338.5,Akwa Ibom,4.601067506,7.627443291,83.543,124116.7133
759,akwa ibom ikot ekpene,23,4,0,0,0,110,0,0,0,0,0,0,,0.324239776,689,133.545,Akwa Ibom,5.187059079,7.683819156,51.313,227297.7474
627,akwa ibom ini,0,0,11,18,0,6,0,0,0,0,0,0,,0.050369954,669,473.182,Akwa Ibom,5.397681646,7.734272512,101.17,96777.1229
351,akwa ibom itu,2,0,0,0,0,45,0,0,0,0,0,0,,0.558307875,688,255.877,Akwa Ibom,5.148023311,7.978690337,79.634,141059.5835
243,akwa ibom mbo,30,2,1,0,0,70,0,0,0,0,0,0,,0.436601029,734,231.496,Akwa Ibom,4.646743486,8.240818505,72.887,69092.5893
170,akwa ibom mpkat enin,26,2,0,0,0,164,0,0,0,15,1,1,,0.209349406,722,347.08,Akwa Ibom,4.687933422,7.756467552,117.661,82999.1979
594,akwa ibom nsit atai,0,0,0,0,0,16,0,0,0,0,0,0,,0.165993676,721,131.734,Akwa Ibom,4.817696341,8.025931651,49.037,46886.9437
603,akwa ibom nsit ibom,19,7,0,0,0,112,0,0,0,0,1,0,,0.17663915,713,119.971,Akwa Ibom,4.878504208,7.882292912,58.007,55409.4971
144,akwa ibom nsit ubium,0,20,12,0,0,109,0,0,0,0,0,0,,0.306336106,725,204.246,Akwa Ibom,4.742737273,7.948754842,60.003,88812.3168
509,akwa ibom obot akara,0,0,0,0,0,63,0,0,0,1,0,0,,0.085942514,683,232.632,Akwa Ibom,5.241882375,7.589776331,69.045,74362.8989
94,akwa ibom okobo,30,8,0,0,0,27,0,0,0,0,0,0,,0.13697183,719,275.251,Akwa Ibom,4.803958622,8.118507664,80.225,61470.6669
48,akwa ibom onna,63,0,0,0,0,90,0,0,0,0,0,0,,0.608465127,739,151.591,Akwa Ibom,4.615966734,7.848686869,60.525,69201.6557
97,akwa ibom oron,11,0,0,0,0,91,0,0,0,0,0,0,,0.204174102,774,81.472,Akwa Ibom,4.779526213,8.251202156,57.846,119312.8096
138,akwa ibom oruk anam,4,2,21,0,0,77,1,0,0,0,0,0,,0.059491336,716,470.35,Akwa Ibom,4.795128064,7.655561094,102.778,136993.3138
235,akwa ibom udung uko,0,0,12,35,0,9,10,0,0,0,0,0,,0.145100359,730,53.736,Akwa Ibom,4.745103565,8.241685812,35.684,20599.6845
128,akwa ibom ukanafun,11,0,0,0,0,32,0,0,0,0,0,7,,0.04962264,711,279.592,Akwa Ibom,4.879845413,7.598512292,89.558,107806.5606
551,akwa ibom uruan,54,5,0,0,0,65,0,0,0,0,0,0,,0.325948581,700,291.551,Akwa Ibom,4.983042047,8.042332121,89.334,117372.1739
744,akwa ibom urue offong oruko,2,15,0,0,0,74,1,0,0,0,0,0,,0.194968689,731,127.666,Akwa Ibom,4.710338154,8.158939634,51.303,48854.2567
731,akwa ibom uyo,17,0,0,0,0,16,0,0,0,0,1,0,,2.214396498,704,188.375,Akwa Ibom,5.005173783,7.898351423,97.473,542051.0411
508,anambra aguata,23,5,0,0,0,51,3,0,0,4,0,0,,0.239580589,616,162.798,Anambra,5.974717947,7.046606351,54.538,436697.0714
319,anambra anambra east,0,0,0,6,0,1,0,0,0,0,0,0,,0.370568918,575,380.294,Anambra,6.298195667,6.857310435,97.287,102936.7594
42,anambra anambra west,11,3,55,0,0,44,0,0,0,0,0,0,,0.035148183,535,743.236,Anambra,6.490933791,6.799636875,155.613,27477.1951
231,anambra anaocha,2,1,0,0,0,80,0,0,0,4,0,0,,0.295962236,602,105.321,Anambra,6.074199998,6.995682913,53.252,164136.1385
706,anambra awka north,2,1,3,0,0,55,1,1,0,0,0,0,,0.139311211,577,389.636,Anambra,6.329009787,7.04082127,81.161,65268.241
643,anambra awka south,24,0,0,0,0,74,0,0,0,1,0,0,,0.971216758,596,171.447,Anambra,6.177681443,7.061528258,55.585,243014.3155
735,anambra ayamelum,0,0,16,1,0,0,0,0,0,0,0,0,,0.029731711,541,570.041,Anambra,6.568544978,6.97476177,123.942,75584.5071
581,anambra dunukofia,0,0,1,94,0,4,2,0,0,0,0,0,,0.44490345,591,58.595,Anambra,6.222779447,6.936867761,48.573,76836.4904
414,anambra ekwusigo,48,1,0,0,0,76,0,0,0,1,0,0,,0.51273581,611,107.371,Anambra,5.989851887,6.824937001,50.143,247284.6498
747,anambra idemili north,10,2,0,0,0,54,0,0,0,0,0,0,,1.330278063,603,87.655,Anambra,6.106388594,6.883223364,45.71,575468.8109
221,anambra idemili south,23,9,0,0,0,76,4,0,0,9,0,0,,0.697344461,608,111.133,Anambra,6.058429623,6.878222239,59.047,241855.6171
481,anambra ihiala,1,3,0,0,0,92,0,0,0,0,0,0,,0.163842537,631,222.332,Anambra,5.827074157,6.855384875,67.256,357811.2608
63,anambra njikoka,73,0,0,0,0,106,0,0,0,0,0,0,,0.569081898,597,94.111,Anambra,6.173702942,6.966262209,47.434,192143.9473
484,anambra nnewi north,6,0,0,0,0,53,1,0,0,0,0,0,,0.908528456,612,64.805,Anambra,5.988821657,6.884558206,38.631,221114.916
347,anambra nnewi south,0,0,0,34,0,10,0,0,0,0,0,0,,0.347799107,620,168.774,Anambra,5.927793556,6.92003924,71.588,212751.7749
52,anambra ogbaru,1,10,0,0,0,208,0,0,0,0,0,0,,0.519564873,610,398.903,Anambra,5.854825812,6.722517553,102.653,160155.3636
756,anambra onitsha,2,0,0,0,0,50,0,0,0,0,0,0,,3.147911307,605,28.143,Anambra,6.110008079,6.784489526,23.46,202210.3353
122,anambra onitsha north,3,0,0,0,0,46,1,0,0,0,0,0,,0.589433046,607,17.16,Anambra,6.077638522,6.754701648,16.732,84706.0179
136,anambra orumba north,0,2,0,0,0,52,2,0,0,0,2,0,,0.170412631,598,364.756,Anambra,6.094551787,7.146126859,95.183,117156.0359
612,anambra orumba south,1,3,1,0,0,67,0,0,0,0,0,0,,0.037180685,614,231.92,Anambra,5.980174023,7.219784987,70.712,169796.0113
141,anambra oyi,6,2,0,0,0,115,0,0,0,1,0,0,,0.943519845,590,131.681,Anambra,6.193537183,6.87294348,57.057,254355.5521
13,bauchi alkaleri,138,1,0,0,0,1,0,0,0,82,1,0,,-0.012105507,250,6133.911,Bauchi,9.857096466,10.51548187,387.282,362218.7402
722,bauchi bauchi,143,14,0,0,0,37,2,0,0,79,2,3,,0.062811582,241,3976.84,Bauchi,10.21572109,9.947538904,292.294,1106399.687
12,bauchi bogoro,39,30,0,0,0,22,0,0,0,15,0,3,,-0.010802112,277,653.946,Bauchi,9.63070195,9.607500311,107.026,73421.4601
366,bauchi dambam,119,0,0,0,0,25,0,0,0,81,0,0,,0.009743745,163,988.286,Bauchi,11.58617408,10.82629041,129.903,186966.9639
739,bauchi darazo,33,34,0,0,0,45,0,0,0,86,0,0,,-0.002040799,196,2498.174,Bauchi,11.13608991,10.62480832,277.019,374451.2703
64,bauchi dass,87,3,0,0,0,2,0,0,0,146,1,0,,-0.008027794,259,528.632,Bauchi,9.997326957,9.477049953,95.753,68763.5707
548,bauchi gamawa,24,0,0,0,0,51,1,0,0,80,1,2,,0.004188126,97,2980.671,Bauchi,12.0205131,10.6215411,244.217,324234.8112
410,bauchi ganjuwa,5,1,206,0,0,25,0,3,0,0,0,0,,-0.017366991,215,5305.348,Bauchi,10.73273513,10.02398979,371.544,492864.8898
655,bauchi giade,127,3,0,0,0,40,0,0,0,41,0,0,,0.001089729,182,656.404,Bauchi,11.38637711,10.25704036,132.978,194222.8249
227,bauchi itas gadau,0,0,95,0,0,14,0,0,0,0,0,0,,0.003665154,131,1545.691,Bauchi,11.84799724,10.0531601,232.697,269534.8425
545,bauchi jama are,202,1,0,0,0,15,0,0,0,148,1,0,,0.017759418,165,549.474,Bauchi,11.67476838,9.932731365,109.066,78398.9897
199,bauchi katagum,1,0,0,0,0,0,0,0,0,0,0,0,,0.033905832,160,1952.149,Bauchi,11.61705844,10.27555675,323.023,509023.2961
552,bauchi kirfi,0,0,103,0,0,24,0,0,0,0,0,0,,-0.009044492,230,2526.468,Bauchi,10.40618407,10.5701701,203.789,169863.8847
342,bauchi misau,54,3,0,0,0,70,0,0,0,63,0,0,,0.003731099,185,1216.757,Bauchi,11.361715,10.50081734,171.161,254129.1898
424,bauchi ningi,100,0,0,0,0,31,1,0,0,36,0,0,,-0.005676119,202,5194.948,Bauchi,11.02346261,9.209002617,296.504,402363.3813
358,bauchi shira,18,0,0,0,0,27,0,0,0,5,0,0,,-0.003260689,181,908.407,Bauchi,11.42629799,10.08963259,127.18,301452.7932
701,bauchi tafawa balewa,40,0,0,0,0,0,0,0,0,52,0,0,,-0.010850502,253,2188.108,Bauchi,9.821817066,9.535744422,308.155,224143.708
210,bauchi toro,159,2,0,0,0,10,1,0,0,147,7,0,,-0.004898088,222,7111.208,Bauchi,10.39841051,9.211837228,408.122,427405.9482
514,bauchi warji,89,1,0,0,0,59,0,0,0,0,0,0,,0.000166,204,650.683,Bauchi,11.13648212,9.748367342,98.432,100757.2783
619,bayelsa brass,29,0,2,0,0,27,9,11,0,0,0,0,,2.413668445,733,1913.948,Bayelsa,4.457937412,6.382969789,330.64,55998.3922
375,bayelsa ekeremor,0,0,5,48,0,25,0,0,0,0,0,0,,1.057892503,696,1866.706,Bayelsa,4.946600447,5.690094081,217.528,102513.8792
301,bayelsa kolokuma opokuma,0,0,5,66,0,44,3,0,0,0,0,0,,0.760767173,692,444.124,Bayelsa,5.08284065,6.266153951,104.426,48605.1011
418,bayelsa nembe,0,0,5,66,0,5,22,0,0,0,0,0,,10.69227345,742,940.308,Bayelsa,4.50931175,6.346443632,142.85,32004.9445
252,bayelsa ogbia,0,5,0,0,0,47,0,0,0,1,0,1,,1.336557527,715,753.329,Bayelsa,4.74924154,6.32063752,144.208,154405.6104
736,bayelsa sagbama,40,7,17,0,0,100,3,1,0,0,0,0,,0.318002039,679,894.395,Bayelsa,5.112981541,6.183005503,252.89,103732.1235
534,bayelsa southern ijaw,1,2,2,0,0,116,0,0,0,0,0,0,,0.852713931,708,2639.512,Bayelsa,4.669055961,5.922694051,278.181,136499.6541
437,bayelsa yenagoa,0,7,0,0,0,95,0,0,0,0,0,0,,3.989982477,678,747.564,Bayelsa,5.080931831,6.386172758,203.642,466191.9304
134,benue ado,4,0,165,0,0,2,0,7,0,0,0,0,,-0.006755062,513,1046.856,Benue,6.77366186,7.976493576,151.053,97320.3358
180,benue agatu,23,11,0,0,0,17,1,0,0,68,0,0,,-0.002805334,389,1250.779,Benue,7.854869729,7.906101207,163.301,97127.425
339,benue apa,18,2,0,0,0,2,0,0,0,30,1,0,,-0.006729207,420,893.602,Benue,7.61159785,7.888079285,118.497,156849.381
504,benue buruku,113,4,0,0,0,57,1,0,0,182,2,0,,0.011702884,432,1590.457,Benue,7.373239474,9.143150436,235.885,203786.1252
345,benue gboko,36,3,0,0,0,46,0,0,0,3,0,2,,0.110020245,447,1928.288,Benue,7.321215008,8.864007789,214.203,366013.4358
657,benue guma,82,5,0,0,0,55,2,0,0,111,6,4,,-0.002970153,373,2816.251,Benue,7.910057467,8.736229154,264.898,137860.6573
53,benue gwer east,43,4,0,0,0,38,0,0,0,76,0,1,,0.021234191,435,2480.175,Benue,7.358386549,8.420729979,240.002,173199.4237
714,benue gwer west,2,6,22,0,0,2,18,16,5,0,0,0,,0.005563953,409,1245.699,Benue,7.632111561,8.216564874,144.894,99899.19
29,benue katsina ala,103,0,0,0,0,14,1,0,0,18,0,0,,-0.008645593,445,2700.759,Benue,7.321699776,9.570645,251.782,411120.5548
259,benue konshisha,39,20,0,0,0,62,4,0,0,114,0,0,,0.002423673,477,1542.866,Benue,7.029929957,8.660368615,196.88,191629.5787
717,benue kwande,7,15,0,0,0,72,1,0,0,87,0,0,,-0.00517092,486,3077.589,Benue,6.822015632,9.500928944,299.203,374194.2894
305,benue logo,0,1,72,0,0,14,0,0,0,0,0,0,,-0.000352,401,1383.538,Benue,7.708541192,9.22626636,185.067,289361.0838
16,benue makurdi,52,1,0,0,0,29,1,0,0,19,0,1,,0.375856444,407,837.854,Benue,7.704199152,8.535874668,108.515,484382.0264
236,benue obi,153,0,0,0,0,52,44,0,0,121,0,0,,0.024439766,504,419.133,Benue,6.975769994,8.277010969,92.957,89982.8918
396,benue ogbadibo,14,0,0,0,0,17,7,0,0,1,0,1,,0.010736552,499,516.292,Benue,6.972802945,7.65712888,116.152,123109.639
464,benue ohimini,1,2,0,0,0,33,2,0,0,9,1,0,,0.021308336,480,632.463,Benue,7.207440188,7.949890761,106.807,90467.0966
77,benue oju,68,6,0,0,0,112,1,0,0,10,0,0,,0.036995951,511,1099.64,Benue,6.830370304,8.359106027,173.859,123143.0426
146,benue okpokwu,24,0,0,0,0,23,0,0,0,10,0,0,,-0.002416685,494,726.903,Benue,7.010938278,7.851019985,143.128,132298.7832
289,benue oturkpo,5,0,0,0,0,9,0,0,0,9,0,0,,0.120614301,443,1338.187,Benue,7.266962248,8.067640674,220.928,159855.4928
211,benue tarka,33,106,0,0,0,81,6,0,0,892,4,2,,0.081796843,428,384.891,Benue,7.58395682,8.850287453,83.03,53304.5592
402,benue ukum,48,29,0,0,0,42,0,0,0,70,0,3,,-0.012899769,403,1515.396,Benue,7.652141715,9.583520569,159.013,339565.3791
630,benue ushongo,60,1,0,0,0,89,1,0,0,120,0,1,,0.003657188,491,1268.178,Benue,7.044107443,9.088712921,196.014,124189.5578
495,benue vandeikya,120,5,0,0,0,18,1,0,0,203,0,2,,-0.0016449,512,766.631,Benue,6.830871318,9.055975942,122.298,129127.1265
364,borno askira uba,3,0,0,0,0,46,0,0,0,0,0,0,,-0.017671898,223,2198.599,Borno,10.64062904,13.02572894,275.575,281027.3177
589,borno bama,0,88,0,0,0,44,0,0,0,4,0,0,,-0.001912477,157,4486.311,Borno,11.5505769,14.15011944,333.282,250440.4888
595,borno bayo,3,1,0,0,0,62,0,0,0,0,0,0,,-0.005910769,227,1065.878,Borno,10.42057698,11.78995132,152.602,168992.5932
65,borno biu,14,0,0,0,0,62,0,0,0,1,0,0,,-0.007042969,214,3326.788,Borno,10.79187619,12.18489382,268.829,289775.9136
383,borno dikwa,19,0,0,0,0,51,0,0,0,0,0,0,,0.001068616,122,1791.347,Borno,11.91447882,14.12030319,199.168,102234.1057
444,borno gubio,11,0,0,0,0,7,0,0,0,1,0,0,,0.000283,37,2504.059,Borno,12.66355235,12.79492413,215.022,171860.1275
741,borno guzamala,13,2,1,0,0,15,0,0,0,0,0,0,,-0.003590599,23,2313.066,Borno,12.87652106,13.27319115,245.222,127734.4799
191,borno hawul,17,6,0,0,0,56,0,0,0,1,0,0,,0.002417804,233,2079.023,Borno,10.45714313,12.37203964,217.165,253529.6761
